VS("/Vgs") X,VS("/Vgs") Y,Cgs X,Cgs Y,Cgd X,Cgd Y,Cgb X,Cgb Y
1e-09,0.2031433037485673,1e-09,1.855373563250979e-17,1e-09,1.729673220778844e-17,1e-09,9.303887101388733e-18
1.258925411794167e-09,0.2112440758795354,1.258925411794167e-09,1.864972982039796e-17,1.258925411794167e-09,1.730113662642844e-17,1.258925411794167e-09,9.237652048104148e-18
1.584893192461114e-09,0.2193742800574978,1.584893192461114e-09,1.87632523345198e-17,1.584893192461114e-09,1.730556414601617e-17,1.584893192461114e-09,9.169243437925432e-18
1.99526231496888e-09,0.2275536248466019,1.99526231496888e-09,1.889696337711347e-17,1.99526231496888e-09,1.7310019082565e-17,1.99526231496888e-09,9.098109028664901e-18
2.511886431509581e-09,0.2357887670273462,2.511886431509581e-09,1.905367134225085e-17,2.511886431509581e-09,1.731449788617599e-17,2.511886431509581e-09,9.023761076568516e-18
3.16227766016838e-09,0.2440871880485682,3.16227766016838e-09,1.923651533261227e-17,3.16227766016838e-09,1.731899661287815e-17,3.16227766016838e-09,8.945660267247716e-18
3.981071705534974e-09,0.2524572244649077,3.981071705534974e-09,1.944899961849169e-17,3.981071705534974e-09,1.732351087494032e-17,3.981071705534974e-09,8.863211139764406e-18
5.011872336272725e-09,0.2609081982644124,5.011872336272725e-09,1.96950335000356e-17,5.011872336272725e-09,1.732803584366893e-17,5.011872336272725e-09,8.775756250223053e-18
6.309573444801935e-09,0.2694505523527655,6.309573444801935e-09,1.997897571029929e-17,6.309573444801935e-09,1.733256625391975e-17,6.309573444801935e-09,8.682569835878141e-18
7.943282347242819e-09,0.278095990890006,7.943282347242819e-09,2.030568353683138e-17,7.943282347242819e-09,1.733709641215446e-17,7.943282347242819e-09,8.582850992978004e-18
1.000000000000001e-08,0.2868576218672248,1.000000000000001e-08,2.068056642665734e-17,1.000000000000001e-08,1.73416202102647e-17,1.000000000000001e-08,8.475716467488006e-18
1.258925411794168e-08,0.2957500969710589,1.258925411794168e-08,2.110964312154258e-17,1.258925411794168e-08,1.734613114905294e-17,1.258925411794168e-08,8.360193290527606e-18
1.584893192461115e-08,0.3047897405085739,1.584893192461115e-08,2.15996001769617e-17,1.584893192461115e-08,1.73506223778173e-17,1.584893192461115e-08,8.23521169998582e-18
1.995262314968881e-08,0.31399465468049,1.995262314968881e-08,2.215784783337683e-17,1.995262314968881e-08,1.73550867606854e-17,1.995262314968881e-08,8.099599108222122e-18
2.511886431509582e-08,0.3233847825478147,2.511886431509582e-08,2.279256636044307e-17,2.511886431509582e-08,1.735951698669179e-17,2.511886431509582e-08,7.952076341139438e-18
3.162277660168382e-08,0.332981902538589,3.162277660168382e-08,2.351273188065699e-17,3.162277660168382e-08,1.736390574994587e-17,3.162277660168382e-08,7.791258025143139e-18
3.981071705534977e-08,0.3428095195791552,3.981071705534977e-08,2.432810504136059e-17,3.981071705534977e-08,1.736824603931732e-17,3.981071705534977e-08,7.615659860949397e-18
5.011872336272729e-08,0.3528926089900679,5.011872336272729e-08,2.524915870474271e-17,5.011872336272729e-08,1.737253159426239e-17,5.011872336272729e-08,7.423716579279346e-18
6.30957344480194e-08,0.3632571626278621,6.30957344480194e-08,2.62869125738035e-17,6.30957344480194e-08,1.737675760410619e-17,6.30957344480194e-08,7.213815509899926e-18
7.943282347242825e-08,0.3739294869410806,7.943282347242825e-08,2.745263495052717e-17,7.943282347242825e-08,1.738092174921185e-17,7.943282347242825e-08,6.984351624018976e-18
1.000000000000001e-07,0.3849352167856638,1.000000000000001e-07,2.875736796120842e-17,1.000000000000001e-07,1.738502569713751e-17,1.000000000000001e-07,6.733810074100869e-18
1.258925411794169e-07,0.3962980462289003,1.258925411794169e-07,3.021123819119019e-17,1.258925411794169e-07,1.738907716258276e-17,1.258925411794169e-07,6.460880775354143e-18
1.584893192461116e-07,0.4080382466788666,1.584893192461116e-07,3.182253728597447e-17,1.584893192461116e-07,1.739309259877924e-17,1.584893192461116e-07,6.164605349680549e-18
1.995262314968882e-07,0.4201711450557072,1.995262314968882e-07,3.359660375300372e-17,1.995262314968882e-07,1.739710049183507e-17,1.995262314968882e-07,5.844548899222436e-18
2.511886431509584e-07,0.4327058556955172,2.511886431509584e-07,3.553460901197445e-17,2.511886431509584e-07,1.74011450726578e-17,2.511886431509584e-07,5.500977800849529e-18
3.162277660168384e-07,0.4456446608918835,3.162277660168384e-07,3.763243509876593e-17,3.162277660168384e-07,1.740529006977948e-17,3.162277660168384e-07,5.13501243114586e-18
3.981071705534979e-07,0.4589834586390814,3.981071705534979e-07,3.987989717974398e-17,3.981071705534979e-07,1.740962197452926e-17,3.981071705534979e-07,4.748715574744223e-18
5.011872336272731e-07,0.4727135901080979,5.011872336272731e-07,4.226056791946967e-17,5.011872336272731e-07,1.741425228684759e-17,5.011872336272731e-07,4.345079713569064e-18
6.309573444801943e-07,0.4868251181315231,6.309573444801943e-07,4.475237021069767e-17,6.309573444801943e-07,1.741931844763484e-17,6.309573444801943e-07,3.927893501752552e-18
7.943282347242829e-07,0.5013113213993968,7.943282347242829e-07,4.732892763824207e-17,7.943282347242829e-07,1.742498363756032e-17,7.943282347242829e-07,3.501496825650435e-18
1.000000000000002e-06,0.5161739245386121,1.000000000000002e-06,4.996145808414401e-17,1.000000000000002e-06,1.743143619543638e-17,1.000000000000002e-06,3.070464552367982e-18
1.25892541179417e-06,0.5314285189454101,1.25892541179417e-06,5.262085085960003e-17,1.25892541179417e-06,1.743888986907051e-17,1.25892541179417e-06,2.639278171234858e-18
1.584893192461117e-06,0.5471097794311863,1.584893192461117e-06,5.527954226404678e-17,1.584893192461117e-06,1.744758630253155e-17,1.584893192461117e-06,2.21204401191765e-18
1.995262314968884e-06,0.563276386673607,1.995262314968884e-06,5.791289754546352e-17,1.995262314968884e-06,1.745780108976246e-17,1.995262314968884e-06,1.792298563408331e-18
2.511886431509586e-06,0.5800159164835578,2.511886431509586e-06,6.049996352111428e-17,2.511886431509586e-06,1.746985453560388e-17,2.511886431509586e-06,1.382915396405748e-18
3.162277660168386e-06,0.5974502673345997,3.162277660168386e-06,6.30236059399362e-17,3.162277660168386e-06,1.748412814746954e-17,3.162277660168386e-06,9.861051652244011e-19
3.981071705534982e-06,0.6157424427524868,3.981071705534982e-06,6.547014302788842e-17,3.981071705534982e-06,1.750108793067115e-17,3.981071705534982e-06,6.034864758767497e-19
5.011872336272735e-06,0.6351057188526116,5.011872336272735e-06,6.782862197339598e-17,5.011872336272735e-06,1.752131568652265e-17,5.011872336272735e-06,2.362015582704637e-19
6.309573444801948e-06,0.6558164754530748,6.309573444801948e-06,7.008987547055271e-17,6.309573444801948e-06,1.754554930103067e-17,6.309573444801948e-06,-1.149466579675714e-19
7.943282347242835e-06,0.6782323254298955,7.943282347242835e-06,7.224546830477873e-17,7.943282347242835e-06,1.757473136106149e-17,7.943282347242835e-06,-4.493547190608373e-19
1.000000000000003e-05,0.7028177115025853,1.000000000000003e-05,7.428662630697245e-17,1.000000000000003e-05,1.761005956672438e-17,1.000000000000003e-05,-7.664919707479333e-19
1.258925411794171e-05,0.7301799199206067,1.258925411794171e-05,7.620325490994316e-17,1.258925411794171e-05,1.76530155282711e-17,1.258925411794171e-05,-1.065804791153893e-18
1.584893192461118e-05,0.7611195633874328,1.584893192461118e-05,7.798321982786378e-17,1.584893192461118e-05,1.770530534726779e-17,1.584893192461118e-05,-1.346678068102157e-18
1.995262314968885e-05,0.7967011384208427,1.995262314968885e-05,7.961218086623903e-17,1.995262314968885e-05,1.776854879227975e-17,1.995262314968885e-05,-1.608493870390033e-18
2.511886431509587e-05,0.8383515804000378,2.511886431509587e-05,8.10743982139038e-17,2.511886431509587e-05,1.784339307063847e-17,2.511886431509587e-05,-1.850838056665305e-18
3.162277660168388e-05,0.8879987278473794,3.162277660168388e-05,8.235492210258757e-17,3.162277660168388e-05,1.79276893858067e-17,3.162277660168388e-05,-2.073891805367656e-18
3.981071705534984e-05,0.9482697741536985,3.981071705534984e-05,8.344314352369229e-17,3.981071705534984e-05,1.801429324687265e-17,3.981071705534984e-05,-2.278971898226677e-18
5.011872336272738e-05,1.022788529846647,5.011872336272738e-05,8.434108032697912e-17,5.011872336272738e-05,1.809214671117451e-17,5.011872336272738e-05,-2.470086315196438e-18
6e-05,1.094164574053472,6e-05,8.490216719777224e-17,6e-05,1.813984704213466e-17,6e-05,-2.609823395762304e-18
